No,EtOx,nPropOx,cPropOx,iPropOx,molecular mass,Cloud Point
9,158.0248158983,0.0,0.0,0.0,15665,87.5
10,90.9916271563,0.0,0.0,0.0,9020,88.5
11,170.6546958539,0.0,0.0,0.0,16917,86.3
14,434.6010289519,0.0,0.0,0.0,43082,60.75
15,388.4394229799,0.0,0.0,0.0,38506,61.5
16,208.3526682135,0.0,0.0,0.0,20654,65.5
17,129.7871362931,14.7419687104,0.0,0.0,14534,74.5
18,104.8637503801,16.5063310783,0.0,0.0,12263,71.25
19,71.6876376569,7.4814817875,0.0,0.0,7953,75.0
20,55.1194847644,15.4560399019,0.0,0.0,7213,66.0
21,57.4119907161,16.0988808794,0.0,0.0,7513,66.3
22,116.1591586878,29.039789672,0.0,0.0,14801,64.8
23,90.4842704375,39.5218652486,0.0,0.0,13442,56.75
24,49.464733621,22.3273325924,0.0,0.0,7430,57.5
25,76.2644810163,57.2985330228,0.0,0.0,14044,49.3
26,79.7236432498,59.897448256,0.0,0.0,14681,49.0
27,100.4255745603,69.1835701117,0.0,0.0,17784,49.3
28,57.761662097,59.1647793949,0.0,0.0,12421,44.5
29,84.5091555178,82.3401150011,0.0,0.0,17695,43.5
30,50.406374681,79.1729946789,0.0,0.0,13956,39.5
31,42.9624410168,67.4808520856,0.0,0.0,11895,39.0
32,62.9403987325,98.9017168049,0.0,0.0,17431,38.5
33,37.8332644308,92.6262680892,0.0,0.0,14232,34.8
34,50.2742071902,128.1929819834,0.0,0.0,19490,34.0
35,11.9411130924,51.5754459098,0.0,0.0,7020,31.0
36,12.6385285294,54.5876870526,0.0,0.0,7430,31.5
37,34.3295213585,137.3180854341,0.0,0.0,18942,30.0
38,11.574298708,114.2332959444,0.0,0.0,14074,26.5
39,14.4641616512,139.5737686065,0.0,0.0,17228,26.0
40,0.0,70.5284552846,0.0,0.0,7981,23.75
41,0.0,162.7695298692,0.0,0.0,18419,23.3
42,0.0,138.2732414281,0.0,0.0,15647,23.0
44,58.0117056681,0.0,11.546694413600000,0.0,7034,76.5
46,48.8795885641,0.0,23.8578944182,0.0,7497,63.5
48,23.6721681262,0.0,37.1817345119,0.0,6479,53.0
50,3.4385062447,0.0,16.3230238974,0.0,2155,49.0
52,0.0,0.0,33.9931617779,0.0,3778,31.5
54,59.0887547038,0.0,0.0,19.278293975,8039,78.0
56,49.2231316451,0.0,0.0,20.8952895018,7244,67.8
58,37.4428211716,0.0,0.0,41.2185678443,8376,56.3
60,13.9647480788,0.0,0.0,35.380651493,5388,51.7
62,0.0,0.0,0.0,83.4835630965,9447,40.3